ID,Title,Author,Year,Format,File
1,Bumi Cinta,Habiburrahman El Shirazy,2012,PDF,ebook/Bumi Cinta.pdf
2,Cantik Itu Luka,Eka Kurniawan,2015,PDF,ebook/Cantik Itu Luka.pdf
3,Di Atas Sajadah Cinta,Habiburrahman El Shirazy,2006,PDF,ebook/Di Atas Sajadah Cinta.pdf
4,Dunia Sophie,Jostein Gaarder,2014,PDF,ebook/Dunia Sophie.pdf
5,Laskar Pelangi,Andrea Hirata,2005,PDF,ebook/Laskar Pelangi.pdf
6,Matahari,Tere Liye,2016,PDF,ebook/Matahari.pdf
7,Pada Senja Yang Membawamu Pergi,Boy Candra,2016,PDF,ebook/Pada Senja Yang Membawamu Pergi.pdf
8,Syahadat Cinta,Taufiqurrahman AL-Azizy,2006,PDF,ebook/Syahadat Cinta.pdf
9,Tenggelamnya Kapal Van Der Wijck,Hamka,1976,PDF,ebook/Tenggelamnya Kapal Van Der Wijck.pdf
10,Yang Fana Adalah Waktu,Sapardi Djoko Damono,2018,PDF,ebook/Yang Fana Adalah Waktu.pdf
11,Kuliah Umum,Sinta Taliya,2025,PDF,ebook/Kuliah Umum.pdf
